number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_grad_clip,params_l1_lambda,params_l2_lambda,params_learning_rate,params_lookback,params_patience,user_attrs_best_epoch,user_attrs_best_model_path,user_attrs_dropout,user_attrs_history_file,user_attrs_input_channels,user_attrs_lookback,user_attrs_n_train_windows,user_attrs_params_file,user_attrs_recursive_200_mae_real,user_attrs_recursive_200_mse_real,user_attrs_recursive_200_r2_real,user_attrs_recursive_200_rmse_real,state
0,1.4263026401078867,2026-05-08 13:23:08.126875,2026-05-08 13:26:48.305925,0 days 00:03:40.179050,32,0.15000000000000002,240,0.25,6.220443016843505e-07,1.8365386359480905e-05,0.0006807314093247821,125,40,57.0,optuna_trial_histories_recursive_200/trial_0_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_0_history.csv,1,125,675,optuna_trial_histories_recursive_200/trial_0_params.json,1.4263026401078867,3.320988619396754,0.9983273131412508,1.822357983327303,COMPLETE
1,2.5761691319309983,2026-05-08 13:26:48.307862,2026-05-08 13:31:05.908634,0 days 00:04:17.600772,32,0.1,240,0.2,2.148401969941614e-06,1.934895891582052e-05,0.0007892834995455796,145,45,64.0,optuna_trial_histories_recursive_200/trial_1_best_model.pt,0.1,optuna_trial_histories_recursive_200/trial_1_history.csv,1,145,655,optuna_trial_histories_recursive_200/trial_1_params.json,2.5761691319309983,21.67768466510537,0.9890815710551828,4.65593005371702,COMPLETE
2,6.002333896555686,2026-05-08 13:31:05.911333,2026-05-08 13:33:47.450507,0 days 00:02:41.539174,32,0.15000000000000002,180,0.3,6.012431645837526e-07,1.7329836324042235e-05,0.0002978907237416632,125,45,21.0,optuna_trial_histories_recursive_200/trial_2_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_2_history.csv,1,125,675,optuna_trial_histories_recursive_200/trial_2_params.json,6.002333896555686,191.9424906621885,0.9033240644394176,13.854331115654357,COMPLETE
3,4.104969271846635,2026-05-08 13:33:47.453131,2026-05-08 13:38:23.410263,0 days 00:04:35.957132,32,0.25,190,0.2,5.089793687797902e-07,2.453084939279631e-05,0.00040207362600833666,145,40,80.0,optuna_trial_histories_recursive_200/trial_3_best_model.pt,0.25,optuna_trial_histories_recursive_200/trial_3_history.csv,1,145,655,optuna_trial_histories_recursive_200/trial_3_params.json,4.104969271846635,44.71530073798249,0.9774781836069566,6.686950032562116,COMPLETE
4,18.114540121823858,2026-05-08 13:38:23.411861,2026-05-08 13:40:18.630070,0 days 00:01:55.218209,32,0.25,180,0.2,1.5024355853565242e-06,1.942921609203641e-05,0.0002795933112862247,115,35,19.0,optuna_trial_histories_recursive_200/trial_4_best_model.pt,0.25,optuna_trial_histories_recursive_200/trial_4_history.csv,1,115,685,optuna_trial_histories_recursive_200/trial_4_params.json,18.114540121823858,1038.383380636717,0.4769960291372285,32.22395662603705,COMPLETE
5,3.513399477033937,2026-05-08 13:40:18.631830,2026-05-08 13:43:14.034988,0 days 00:02:55.403158,32,0.2,240,0.25,5.028596426546239e-07,1.872873852974559e-05,0.0003844010530375316,135,35,43.0,optuna_trial_histories_recursive_200/trial_5_best_model.pt,0.2,optuna_trial_histories_recursive_200/trial_5_history.csv,1,135,665,optuna_trial_histories_recursive_200/trial_5_params.json,3.513399477033937,17.717164150993465,0.9910763718139294,4.209176184361195,COMPLETE
6,9.313048291113601,2026-05-08 13:43:14.037118,2026-05-08 13:46:26.512650,0 days 00:03:12.475532,32,0.25,190,0.3,4.3188908076280477e-07,2.2025634623895888e-05,0.0003704973327562141,135,45,,,0.25,,1,135,665,,,,,,PRUNED
7,32.0957194365901,2026-05-08 13:46:26.530053,2026-05-08 13:50:29.175703,0 days 00:04:02.645650,32,0.25,240,0.2,5.895260364014538e-07,1.729708545383602e-05,0.00038558855505999257,115,40,,,0.25,,1,115,685,,,,,,PRUNED
8,4.720196410614048,2026-05-08 13:50:29.181768,2026-05-08 13:53:48.306338,0 days 00:03:19.124570,32,0.35,180,0.2,6.614155081659256e-07,1.768596072394841e-05,0.0004862882011962359,135,45,41.0,optuna_trial_histories_recursive_200/trial_8_best_model.pt,0.35,optuna_trial_histories_recursive_200/trial_8_history.csv,1,135,665,optuna_trial_histories_recursive_200/trial_8_params.json,4.720196410614048,49.68715305825273,0.9749740039806897,7.048911480381403,COMPLETE
9,3.16954492003841,2026-05-08 13:53:48.308191,2026-05-08 13:58:56.070595,0 days 00:05:07.762404,32,0.15000000000000002,170,0.2,1.6861787678242867e-06,2.2425993861928597e-05,0.000496707170161823,115,45,99.0,optuna_trial_histories_recursive_200/trial_9_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_9_history.csv,1,115,685,optuna_trial_histories_recursive_200/trial_9_params.json,3.16954492003841,30.04385805839844,0.9848677691134223,5.481227787494189,COMPLETE
10,22.767873774329615,2026-05-08 13:58:56.072336,2026-05-08 14:02:08.749371,0 days 00:03:12.677035,32,0.35,220,0.25,8.819317501994387e-07,2.1046418705296056e-05,0.0007249877498532336,125,40,,,0.35,,1,125,675,,,,,,PRUNED
11,3.562732588998937,2026-05-08 14:02:08.768521,2026-05-08 14:06:44.324545,0 days 00:04:35.556024,32,0.1,230,0.25,2.858981064973126e-06,1.9504348421368215e-05,0.000815948257830879,150,40,70.0,optuna_trial_histories_recursive_200/trial_11_best_model.pt,0.1,optuna_trial_histories_recursive_200/trial_11_history.csv,1,150,650,optuna_trial_histories_recursive_200/trial_11_params.json,3.562732588998937,28.938912424048198,0.9854242985852233,5.37948997806002,COMPLETE
12,3.897392245176379,2026-05-08 14:06:44.328158,2026-05-08 14:12:03.613862,0 days 00:05:19.285704,32,0.1,240,0.25,2.8504870600104652e-06,1.873874529308111e-05,0.0006238061735738025,145,45,92.0,optuna_trial_histories_recursive_200/trial_12_best_model.pt,0.1,optuna_trial_histories_recursive_200/trial_12_history.csv,1,145,655,optuna_trial_histories_recursive_200/trial_12_params.json,3.897392245176379,39.755896195452245,0.9799760936440642,6.305227687835884,COMPLETE
13,3.1245599154673824,2026-05-08 14:12:03.615562,2026-05-08 14:17:37.378104,0 days 00:05:33.762542,32,0.15000000000000002,200,0.25,1.0500220995067054e-06,1.9379706152871083e-05,0.0006142898968222567,145,40,98.0,optuna_trial_histories_recursive_200/trial_13_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_13_history.csv,1,145,655,optuna_trial_histories_recursive_200/trial_13_params.json,3.1245599154673824,29.160412555116146,0.9853127353126832,5.4000381994126805,COMPLETE
14,7.579318428145714,2026-05-08 14:17:37.384668,2026-05-08 14:21:27.103619,0 days 00:03:49.718951,32,0.1,240,0.3,2.051015232944846e-06,2.0809515040526534e-05,0.0006390551082269714,125,35,63.0,optuna_trial_histories_recursive_200/trial_14_best_model.pt,0.1,optuna_trial_histories_recursive_200/trial_14_history.csv,1,125,675,optuna_trial_histories_recursive_200/trial_14_params.json,7.579318428145714,135.58339184903573,0.9317105284595293,11.644028162497536,COMPLETE
15,4.098444141981184,2026-05-08 14:21:27.105654,2026-05-08 14:25:36.764675,0 days 00:04:09.659021,32,0.2,240,0.2,8.133851867508947e-07,1.8173189885609437e-05,0.0008028996841482917,150,45,63.0,optuna_trial_histories_recursive_200/trial_15_best_model.pt,0.2,optuna_trial_histories_recursive_200/trial_15_history.csv,1,150,650,optuna_trial_histories_recursive_200/trial_15_params.json,4.098444141981184,40.23702681439784,0.9797337619302632,6.343266257567771,COMPLETE
16,3.958944540338618,2026-05-08 14:25:36.766689,2026-05-08 14:29:17.314347,0 days 00:03:40.547658,32,0.15000000000000002,200,0.25,1.2881694453668286e-06,2.0617023670190502e-05,0.0005597644987612916,145,40,57.0,optuna_trial_histories_recursive_200/trial_16_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_16_history.csv,1,145,655,optuna_trial_histories_recursive_200/trial_16_params.json,3.958944540338618,26.70921351472906,0.9865473340701395,5.168095733897454,COMPLETE
17,8.186019170700176,2026-05-08 14:29:17.316254,2026-05-08 14:32:30.496738,0 days 00:03:13.180484,32,0.1,170,0.25,1.9125127668394556e-06,2.5608088695030632e-05,0.000686880214036513,125,40,49.0,optuna_trial_histories_recursive_200/trial_17_best_model.pt,0.1,optuna_trial_histories_recursive_200/trial_17_history.csv,1,125,675,optuna_trial_histories_recursive_200/trial_17_params.json,8.186019170700176,262.4536633719293,0.8678096060947814,16.200421703521464,COMPLETE
